ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
0,retained,283,226,297,2276,208,0,2628.8,1985.8,28,19,Android
1,retained,133,107,327,1225,19,64,13715.9,3160.5,13,11,iPhone
2,retained,114,95,136,2651,0,0,3059.1,1610.7,14,8,Android
3,retained,49,40,68,15,322,7,913.6,587.2,7,3,iPhone
4,retained,84,68,168,1562,166,5,3950.2,1219.6,27,18,Android
5,retained,113,103,280,2637,0,0,901.2,439.1,15,11,iPhone
6,retained,3,2,237,360,185,18,5249.2,726.6,28,23,iPhone
7,retained,39,35,176,2999,0,0,7892.1,2467.0,22,20,iPhone
8,retained,57,46,184,424,0,26,2651.7,1594.3,25,20,Android
9,churned,84,68,245,2997,72,0,6043.5,2341.8,7,3,iPhone
10,retained,23,20,117,1946,0,36,8554.9,5352.6,9,9,iPhone
11,retained,125,100,357,487,3,7,2284.8,1034.7,1,1,iPhone
12,retained,51,41,110,2760,64,0,2512.3,1717.3,12,12,iPhone
13,retained,80,64,133,3154,39,16,8531.2,6324.3,1,0,Android
14,churned,72,66,401,2524,54,24,5922.8,2227.3,0,0,Android
15,retained,23,22,95,50,193,0,2188.8,1775.7,11,10,iPhone
16,retained,30,25,42,1554,61,19,1213.5,949.1,17,13,Android
17,churned,272,219,564,88,0,90,3529.3,2078.4,11,11,Android
18,retained,48,38,259,2077,131,11,9140.6,4922.7,10,3,Android
19,retained,106,98,171,87,0,6,8566.5,2534.6,22,20,iPhone
20,retained,52,42,145,2937,306,0,1601.9,951.9,7,7,iPhone
21,retained,148,119,169,501,77,28,2170.3,552.0,21,21,iPhone
22,churned,73,60,119,1607,254,92,2653.4,400.7,16,16,iPhone
23,churned,29,23,33,2188,338,0,4283.5,654.5,2,2,iPhone
24,retained,3,3,50,1084,63,23,2274.2,1650.6,16,10,Android
25,retained,0,0,139,2731,13,4,5702.3,4582.7,6,2,Android
26,retained,132,106,160,112,199,28,4829.0,3178.1,13,9,Android
27,churned,5,5,216,2465,412,0,925.0,490.5,16,8,iPhone
28,retained,64,54,81,1635,81,0,2723.5,1546.8,2,2,iPhone
29,retained,57,46,60,1732,429,95,1443.4,590.0,27,21,Android
30,retained,78,66,485,2381,106,21,10573.0,6978.1,31,26,iPhone
31,retained,46,37,98,2938,372,26,4042.1,1404.6,22,17,iPhone
32,retained,38,34,63,1940,313,12,4668.2,1066.1,24,20,iPhone
33,retained,291,233,569,275,39,9,2578.7,1703.3,15,15,iPhone
34,retained,126,101,346,2225,149,0,3666.4,1446.0,11,11,iPhone
35,retained,156,127,781,101,113,0,1944.8,647.0,18,18,iPhone
36,retained,75,60,108,2329,223,36,2354.6,809.7,4,1,Android
37,retained,16,14,104,443,0,5,8786.1,7181.0,19,19,Android
38,retained,95,78,191,1848,35,28,2314.4,1317.2,20,20,iPhone
39,retained,91,91,124,470,0,86,3423.4,2355.5,29,26,iPhone
40,retained,105,91,115,655,14,11,1822.4,1198.0,24,24,Android
41,retained,20,17,184,2601,325,15,3182.7,1768.3,23,16,iPhone
42,retained,165,132,310,2567,293,76,4673.2,2119.3,20,17,Android
43,retained,133,106,182,2595,185,52,4422.9,2012.3,8,2,Android
44,retained,26,22,132,921,272,7,632.1,420.7,30,24,Android
45,retained,25,25,63,1219,7,0,1187.6,419.5,27,25,iPhone
46,churned,114,105,310,189,11,7,4285.2,2322.6,9,4,iPhone
47,churned,23,20,25,552,65,14,1564.2,821.8,3,3,iPhone
48,churned,48,42,223,757,335,28,9947.6,3369.1,8,2,iPhone
49,retained,62,51,114,694,274,42,3826.4,2916.7,26,21,Android
50,retained,7,7,37,2794,274,18,1130.1,723.0,8,8,iPhone
51,retained,67,57,76,1713,0,52,1620.5,793.9,25,19,Android
52,retained,4,4,63,3291,65,0,4996.2,1345.0,28,23,iPhone
53,retained,84,68,124,3286,74,145,1558.8,1201.0,17,15,iPhone
54,retained,12,10,22,3365,26,0,2900.7,1698.3,14,7,Android
55,retained,20,18,110,724,70,0,4419.0,1660.2,7,3,iPhone
56,churned,150,127,188,2028,208,132,1396.5,496.6,0,0,iPhone
57,retained,41,33,177,2257,86,9,2493.4,1103.6,5,4,Android
58,retained,44,35,126,2193,304,0,351.6,243.8,11,9,iPhone
59,retained,23,20,24,1924,169,0,11556.3,4966.8,27,26,Android
60,retained,49,42,68,1195,132,9,2702.2,244.1,31,20,iPhone
61,retained,43,35,237,1756,29,53,1461.9,954.1,8,8,iPhone
62,retained,69,56,82,1356,373,0,11014.9,9143.8,24,23,iPhone
63,retained,253,203,299,1546,0,88,4695.2,2146.5,6,1,iPhone
64,retained,4,3,114,1830,233,0,9624.4,3213.0,6,0,Android
65,retained,12,12,478,1796,69,35,6931.3,4643.5,23,22,Android
66,retained,150,121,271,1347,0,0,1791.4,253.8,30,26,iPhone
67,churned,36,29,50,1167,139,0,3215.2,1595.0,1,1,iPhone
68,retained,25,21,67,1619,147,11,3554.9,2616.2,19,18,iPhone
69,retained,36,30,132,2384,7,0,2486.0,1197.5,10,4,iPhone
70,churned,62,51,328,2285,381,0,5271.0,2571.4,16,16,Android
71,retained,248,200,248,2849,87,0,3377.5,2032.0,8,5,iPhone
72,retained,23,20,126,997,36,71,8054.1,1506.3,28,21,iPhone
73,retained,89,81,211,1189,0,68,5678.1,1924.1,29,22,iPhone
74,retained,142,113,325,3001,806,18,1966.4,872.2,29,20,iPhone
75,retained,84,67,134,2868,177,55,2541.4,1453.3,22,21,iPhone
76,retained,30,28,74,1722,293,17,5574.2,3842.8,8,6,iPhone
78,retained,54,54,320,1285,0,77,2575.8,987.0,29,20,Android
79,retained,97,84,209,1980,0,0,4471.2,2104.7,22,15,Android
81,churned,26,23,83,2118,335,0,944.2,455.0,2,0,Android
82,retained,16,16,41,484,373,61,3628.6,2134.4,9,9,iPhone
83,retained,22,17,131,199,75,28,4626.2,1499.6,29,24,Android
84,retained,18,18,447,1115,228,0,4798.3,3831.8,31,25,iPhone
85,retained,16,16,20,960,279,58,5044.1,3437.2,24,23,Android
86,retained,57,47,73,1260,230,65,3644.4,1020.2,5,4,Android
87,retained,18,18,198,1517,200,9,3772.0,1639.1,2,2,iPhone
88,retained,306,246,320,2252,60,0,3595.6,2420.1,28,20,Android
89,retained,35,28,72,1987,534,0,2422.6,1156.6,18,13,Android
90,retained,105,105,287,2826,168,0,2237.8,1056.3,4,0,iPhone
91,retained,117,94,157,3479,286,17,1761.2,310.7,28,26,iPhone
92,retained,106,86,203,846,318,0,3737.3,1055.5,9,3,iPhone
93,retained,52,46,58,613,223,183,4742.5,3196.9,20,20,iPhone
94,retained,17,14,280,3440,95,56,2674.8,229.7,2,2,iPhone
95,churned,116,95,193,359,142,0,4032.9,2695.6,1,0,iPhone
96,churned,305,244,638,400,171,164,1896.9,961.0,19,13,Android
97,retained,0,0,560,2879,0,0,6668.8,3511.4,28,24,Android
99,retained,34,34,68,1403,27,24,6254.9,3742.9,1,1,iPhone
100,churned,122,99,296,2482,167,0,3396.1,1841.3,2,0,iPhone
101,retained,76,62,136,70,31,0,5700.9,1041.8,6,3,iPhone
102,retained,113,91,236,1031,34,65,2810.7,1245.6,0,0,iPhone
103,retained,78,63,121,2231,0,9,2427.3,831.6,21,18,iPhone
104,churned,48,39,132,2279,194,0,2626.2,1437.8,24,24,Android
105,retained,37,30,54,710,2,30,5661.7,2816.0,26,20,Android
106,retained,139,112,322,2298,237,58,1243.2,675.3,29,23,Android
107,retained,66,55,120,2515,0,0,2641.1,2125.9,16,14,iPhone
108,retained,29,23,57,677,309,0,5052.5,868.0,7,5,iPhone
109,retained,38,38,77,2324,7,27,1702.4,364.6,3,3,Android
110,retained,56,47,91,1714,0,0,1586.5,734.0,15,13,Android
112,retained,54,45,117,3240,14,79,1762.3,1006.7,10,6,Android
113,retained,91,73,168,3045,198,187,792.5,490.3,21,13,Android
114,retained,18,15,85,1305,25,10,2727.8,513.5,7,7,iPhone
115,retained,40,32,53,314,0,0,1724.2,904.5,0,0,iPhone
116,retained,23,19,56,943,13,0,1234.1,865.2,4,4,Android
117,retained,79,64,246,3016,0,92,4457.6,1293.0,25,20,Android
118,retained,42,34,174,1461,0,82,3478.9,2343.4,6,3,Android
119,retained,192,155,234,2503,205,40,9041.3,4364.1,28,26,Android
120,retained,16,14,403,1267,14,3,2585.1,1690.3,24,23,iPhone
121,churned,67,55,129,2922,310,15,2569.2,1948.2,11,7,iPhone
122,retained,150,122,269,546,0,38,6446.1,2611.8,16,10,iPhone
123,retained,31,25,130,3251,67,29,7712.2,973.0,19,12,Android
124,churned,97,80,132,2929,37,0,4255.6,866.9,12,9,Android
125,retained,16,15,158,343,53,44,1730.4,455.5,25,16,Android
126,retained,148,118,167,2680,12,0,6206.2,1879.5,10,7,iPhone
127,retained,402,322,511,496,0,132,5781.1,515.2,24,21,iPhone
128,retained,15,15,116,811,6,0,3090.9,1572.5,6,1,iPhone
129,retained,138,129,199,2053,62,39,2600.8,1077.1,26,23,iPhone
130,churned,39,32,177,190,610,33,4846.9,2681.4,4,4,Android
131,retained,25,25,716,2739,0,11,11009.3,205.9,19,17,Android
132,retained,7,6,65,3023,140,0,1378.7,385.7,27,18,Android
133,retained,17,15,106,1748,44,13,2774.7,681.3,5,2,Android
134,retained,33,27,257,3012,136,72,9522.4,1175.2,10,10,iPhone
135,retained,40,32,103,3323,154,101,3465.6,1951.5,14,13,iPhone
136,churned,89,82,92,2254,0,0,1772.2,581.6,3,3,iPhone
137,retained,237,193,269,1258,88,9,4478.2,3120.9,27,24,Android
138,retained,141,113,242,508,0,0,4136.0,1841.2,12,11,iPhone
139,retained,29,29,490,2551,120,73,6323.9,3381.9,15,15,Android
140,retained,175,140,246,2808,145,27,5732.2,1978.8,3,3,iPhone
141,retained,222,177,637,3021,71,95,2847.2,1023.0,29,24,iPhone
143,retained,45,37,125,3073,81,112,2422.1,1466.9,24,15,Android
144,retained,53,43,170,2389,0,24,5406.8,3727.8,17,17,iPhone
145,retained,49,40,422,3244,30,0,2810.3,1608.4,12,5,iPhone
146,retained,89,72,188,2507,43,28,854.4,619.2,25,22,iPhone
147,churned,231,186,268,2726,81,0,3163.0,2625.7,1,1,Android
148,retained,51,41,95,3202,180,0,1642.4,1064.4,23,21,iPhone
149,retained,40,32,142,81,172,0,3297.0,678.3,25,16,Android
150,retained,33,30,67,1324,221,0,3991.8,811.7,2,0,iPhone
151,churned,16,16,96,263,195,0,6457.3,2797.7,5,1,iPhone
152,retained,130,108,186,3116,243,126,9184.6,5580.1,24,15,iPhone
153,retained,7,6,59,350,0,13,1838.4,589.8,25,20,iPhone
154,retained,219,188,280,2306,0,77,3353.7,839.9,13,7,Android
155,retained,260,208,594,720,20,0,2752.5,511.9,10,8,Android
156,retained,14,13,63,843,35,7,1945.7,1482.2,24,22,Android
157,retained,161,129,647,672,0,31,4800.0,3955.7,15,14,iPhone
158,retained,97,78,424,1613,127,0,5035.6,3271.8,13,10,iPhone
159,retained,190,154,310,400,83,7,1789.5,1418.2,23,22,Android
160,retained,127,104,156,2184,0,48,9913.3,2062.9,25,25,iPhone
161,retained,41,33,167,2329,0,78,4795.3,1610.2,25,23,iPhone
163,retained,17,14,88,2992,123,53,2226.0,1173.6,22,15,Android
164,retained,43,43,172,1307,50,9,2683.2,877.3,29,23,iPhone
165,retained,143,114,166,3095,111,15,4933.8,2256.0,11,6,iPhone
166,retained,140,113,185,2137,137,28,3294.6,1909.5,9,9,iPhone
167,churned,64,64,297,273,701,104,2196.5,1414.4,19,18,Android
168,retained,266,217,301,2476,0,44,3289.3,974.2,29,26,Android
169,retained,218,175,309,1666,0,49,1433.8,890.5,26,18,Android
170,retained,11,9,63,712,81,26,1624.5,60.0,22,15,Android
171,retained,70,63,95,2774,59,0,3201.9,1210.0,30,20,iPhone
172,churned,123,99,153,2298,17,0,3082.7,1191.4,6,0,Android
173,churned,126,101,162,603,74,0,1392.0,927.2,30,25,iPhone
174,retained,20,16,53,2463,411,89,3766.5,1443.0,21,21,Android
175,retained,55,55,82,3057,501,0,3729.2,1894.8,28,23,Android
